6,Cybersecurity Basics,"Encryption, authentication, and common security threats",6,List of 10 cybersecurity questions,11/09/2025
1,"What is cybersecurity primarily concerned with?",a,E,"Protecting systems and data","Writing secure code only","Improving network speed","Managing databases"
2,"Which term refers to proving a user's identity?",b,E,"Authorization","Authentication","Encryption","Auditing"
3,"What type of attack floods a system with traffic?",c,E,"Phishing","Malware","Denial of Service","Spoofing"
4,"Which of the following is an example of malware?",d,E,"Firewall","Antivirus","Patch","Virus"
5,"What is encryption used for?",a,M,"Protecting data confidentiality","Improving system speed","Backing up data","Removing viruses"
6,"Which protocol is used to securely browse websites?",b,M,"HTTP","HTTPS","FTP","SMTP"
7,"What is phishing?",c,M,"Encrypting data","Blocking traffic","Tricking users into revealing information","Scanning for vulnerabilities"
8,"Which security principle grants users only necessary permissions?",d,M,"Availability","Integrity","Authentication","Least privilege"
9,"What does a firewall do?",a,M,"Monitors and controls network traffic","Encrypts files","Detects viruses","Manages passwords"
10,"Which type of attack involves injecting malicious SQL code?",b,H,"Cross-site scripting","SQL injection","Brute force","Man-in-the-middle"
